Date,AAPL,AGL.JO,FSR.JO,MSFT,MTN.JO,NPN.JO,NVDA,SBK.JO,USDZAR=X
2025-02-13,240.48187255859375,56139.55078125,7473.4931640625,406.60565185546875,11478.3720703125,85830.8671875,135.24566650390625,21692.427734375,18.511869430541992
2025-02-14,243.53855895996094,56905.16796875,7395.54052734375,404.5158386230469,11166.470703125,91995.5703125,138.8045196533203,21861.3125,18.481199264526367
2025-02-17,,56905.16796875,7348.56884765625,,11223.453125,94044.265625,,21857.31640625,18.34600067138672
2025-02-18,243.4091339111328,55535.12109375,7342.572265625,405.7142639160156,11358.41015625,97050.53125,139.35433959960938,21998.220703125,18.406410217285156
2025-02-19,243.80735778808594,54482.51953125,7217.64794921875,410.79510498046875,11321.421875,96177.1640625,139.18438720703125,21738.396484375,18.395200729370117
2025-02-20,244.76321411132812,56138.56640625,7212.65087890625,412.9684753417969,11311.4248046875,97232.5234375,140.06410217285156,21676.4375,18.510400772094727
2025-02-21,244.48443603515625,55776.89453125,7253.62646484375,405.108642578125,11435.3857421875,98747.640625,134.38595581054688,21899.2890625,18.319000244140625
2025-02-24,246.0277099609375,54075.6328125,7180.669921875,400.93060302734375,11644.3193359375,91171.2109375,130.23733520507812,21770.375,18.36716079711914
2025-02-25,245.9679718017578,53956.71484375,7189.6650390625,394.8769836425781,11896.240234375,91082.2109375,126.5885238647461,22051.185546875,18.361499786376953
2025-02-26,239.31695556640625,54546.40234375,7272.61474609375,396.6930847167969,11843.2568359375,92695.5390625,131.23699951171875,22590.82421875,18.410999298095703
2025-02-27,236.27024841308594,54075.6328125,7153.6865234375,389.5477600097656,11724.2939453125,92099.9609375,120.11064910888672,22175.103515625,18.366249084472656
2025-02-28,240.79054260253906,53480.04296875,7066.73876953125,393.9739074707031,11818.2646484375,88669.125,124.87907409667969,21782.3671875,18.42913055419922
2025-03-03,236.9970703125,55577.37890625,7212.65087890625,385.5384826660156,11801.2705078125,90495.640625,114.02263641357422,22095.158203125,18.638320922851562
2025-03-04,234.9061737060547,53976.37109375,7187.666015625,385.65753173828125,11544.3515625,91037.21875,115.9520034790039,21985.23046875,18.603500366210938
2025-03-05,234.7169952392578,55527.2578125,7160.68212890625,397.9732666015625,11656.3154296875,93490.8984375,117.2615737915039,22434.9296875,18.470399856567383
2025-03-06,234.30877685546875,56463.8828125,7169.6767578125,393.8746643066406,11551.3486328125,98512.859375,110.53378295898438,22024.205078125,18.295799255371094
2025-03-07,238.03256225585938,55020.125,7407.53369140625,390.3218688964844,11529.3564453125,96470.1484375,112.65309143066406,22225.0703125,18.12347984313965
2025-03-10,226.4928436279297,52679.046875,7392.54248046875,377.2717590332031,11401.396484375,92308.953125,106.94495391845703,22070.173828125,18.258329391479492
2025-03-11,219.8816680908203,52139.484375,7267.61767578125,377.5595397949219,11288.4326171875,92616.9375,108.72437286376953,21908.28125,18.32900047302246
2025-03-12,216.0384063720703,52135.22265625,7255.62451171875,380.35809326171875,11152.4755859375,93216.7109375,115.71273040771484,21997.22265625,18.194690704345703
2025-03-13,208.77008056640625,52652.23046875,7293.60205078125,375.8923034667969,11174.4677734375,92821.1328125,115.55277252197266,23035.525390625,18.334199905395508
2025-03-14,212.5635528564453,53513.25390625,7415.52880859375,385.60791015625,11338.416015625,94307.6640625,121.6413345336914,23790.017578125,18.27400016784668
